"Ouverture des États généraux : quelle date et quelle importance ? {{c1::5 mai 1789}} : Convocation par Louis XVI à Versailles pour résoudre la crise financière, marquant le début de la Révolution. leech"
"Proclamation de l'Assemblée nationale : quelle date et quelle signification ? {{c1::17 juin 1789}} : Acte fondateur où le tiers état affirme sa souveraineté, défiant l'autorité royale. leech"
"Prise de la Bastille : quelle date et quel symbole ? {{c1::14 juillet 1789}} : Soulèvement populaire contre l'absolutisme, symbole de la lutte pour la liberté. leech"
"Déclaration des Droits de l'Homme et du Citoyen : quand et quels principes ? {{c1::26 août 1789}} : Texte clé proclamant les droits naturels et l'égalité, bases de la nouvelle société."
"Fuite de Varennes : quand, et quelles conséquences pour Louis XVI ? {{c1::20–21 juin 1791}} : Tentative d'évasion manquée qui discrédite la monarchie et radicalise la Révolution. leech"
"Prise des Tuileries : quelle date et quelle conséquence politique majeure ? {{c1::10 août 1792}} : Chute de la monarchie, marquant le passage à une phase révolutionnaire plus radicale. leech"
"Première République : quand est-elle proclamée et qu'est-ce que cela signifie ? {{c1::22 septembre 1792}} : Abolition de la monarchie et instauration d'un régime républicain."
"Exécution de Louis XVI : quelle date et quelle portée symbolique ? {{c1::21 janvier 1793}} : Rupture définitive avec l'Ancien Régime, symbole de la fin de la monarchie. leech"
"Début de la Terreur : quand et pourquoi ? {{c1::5 septembre 1793}} : Période de répression intense pour sauver la Révolution face aux menaces intérieures et extérieures. leech"
"Coup d'État de Bonaparte : quelle date et quelles conséquences sur la Révolution ? {{c1::9 novembre 1799}} ({{c1::18 Brumaire}}) : Fin de la Révolution et début du Consulat, marquant l'ascension de Napoléon. leech"
"Serment du Jeu de Paume : quelle date et quel engagement ? {{c1::20 juin 1789}} : Serment des députés de ne pas se séparer avant d'avoir donné une constitution à la France."
"Serment du Jeu de Paume : quelle est sa signification historique ? Le {{c1::20 juin 1789}}, les députés s'engagent à établir une constitution, acte fondateur de la souveraineté nationale."
